poi_id,name,category,poi_type,city,province,latitude,longitude,rating,review_count,description,opening_hours,booking_link,data_source,created_date
POI_000001,AlUla Old Town,Historic Site,attraction,AlUla,Medina,26.6089,37.9237,4.8,3250,Ancient heritage village with mud-brick buildings dating back 2000 years,Daily: 9:00 AM - 5:00 PM,,Additional_POI_Saudi,2026-01-15
POI_000002,King Fahd Fountain,Landmark,attraction,Jeddah,Makkah,21.5431,39.1728,4.5,8900,"World's tallest fountain, water reaches 312 meters",Daily: 24 hours,,Additional_POI_Saudi,2026-01-15
POI_000003,Diriyah Gate,Cultural District,attraction,Riyadh,Riyadh,24.7397,46.5766,4.7,5600,UNESCO World Heritage site and birthplace of Saudi Arabia,Daily: 8:00 AM - 11:00 PM,https://diriyah.sa/,Additional_POI_Saudi,2026-01-15
POI_000004,Jeddah Corniche,Waterfront,attraction,Jeddah,Makkah,21.5795,39.1466,4.6,12400,30km coastal resort area along the Red Sea,Daily: 24 hours,,Additional_POI_Saudi,2026-01-15
POI_000005,Farasan Islands,Natural Reserve,attraction,Farasan,Jizan,16.7029,41.9932,4.9,1850,Pristine archipelago with coral reefs and diverse marine life,Daily: Sunrise to Sunset,,Additional_POI_Saudi,2026-01-15
POI_000006,Al Wahbah Crater,Natural Wonder,attraction,Taif,Makkah,22.9061,41.142,4.7,2100,Volcanic crater 250m deep with white sodium crystal lake,Daily: 24 hours,,Additional_POI_Saudi,2026-01-15
POI_000007,Red Sea Mall,Shopping Mall,attraction,Jeddah,Makkah,21.6254,39.1068,4.3,18500,Largest shopping mall in western Saudi Arabia,"Sat-Thu: 10:00 AM - 12:00 AM, Fri: 2:00 PM - 12:00 AM",https://www.redseamall.com.sa/,Additional_POI_Saudi,2026-01-15
POI_000008,Ithra - King Abdulaziz Center,Cultural Center,attraction,Dhahran,Eastern Province,26.3042,50.1645,4.9,7200,"World-class cultural center with museum, library, cinema, and theater","Sun-Thu: 9:00 AM - 10:00 PM, Fri-Sat: 2:00 PM - 10:00 PM",https://www.ithra.com/,Additional_POI_Saudi,2026-01-15
POI_000009,Al Khobar Corniche,Waterfront,attraction,Al Khobar,Eastern Province,26.2789,50.2084,4.4,9300,Scenic waterfront promenade along the Arabian Gulf,Daily: 24 hours,,Additional_POI_Saudi,2026-01-15
POI_000010,Ushaiger Heritage Village,Historic Village,attraction,Shaqra,Riyadh,25.3319,45.2547,4.6,1240,Well-preserved traditional Najdi village with mud houses,Daily: 8:00 AM - 6:00 PM,,Additional_POI_Saudi,2026-01-15
POI_000011,Al Soudah Park,Nature Park,attraction,Abha,Asir,18.2738,42.3667,4.7,5400,Highest point in Saudi Arabia with cable car and scenic views,Daily: 8:00 AM - 8:00 PM,,Additional_POI_Saudi,2026-01-15
POI_000012,Tabuk Castle,Historic Fort,attraction,Tabuk,Tabuk,28.3838,36.5713,4.3,3100,Ottoman-era fortress restored as museum,"Sat-Thu: 8:00 AM - 8:00 PM, Fri: 2:00 PM - 8:00 PM",,Additional_POI_Saudi,2026-01-15
POI_000013,Jubail Industrial City Beach,Beach,attraction,Al Jubail,Eastern Province,27.0174,49.6572,4.2,4500,Clean beach with facilities and water sports,Daily: 6:00 AM - 10:00 PM,,Additional_POI_Saudi,2026-01-15
POI_000014,Green Mountain,Landmark,attraction,Abha,Asir,18.2164,42.5048,4.5,6800,Mountain illuminated with green LED lights at night,Daily: 24 hours,,Additional_POI_Saudi,2026-01-15
POI_000015,Half Moon Bay,Beach,attraction,Dhahran,Eastern Province,26.2572,50.1906,4.4,8900,Crescent-shaped beach popular for camping and water sports,Daily: 24 hours,,Additional_POI_Saudi,2026-01-15
POI_000016,Boulevard Riyadh City,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"Joy and fun await you in the largest entertainment center in Riyadh, Riyadh Boulevard, where endless fun destinations can be found in one place. In addition to the luxury shopping places where you can obtain pieces from the finest stores of international brands to your closet, along with dishes that amaze your senses with flavors of local and international cuisine. Riyadh Boulevard offers fun, joy, and enthusiasm for adults and children.",-,https://riyadhseason.com/en/zone/boulevard-city,Visit_Saudi_Attractions,2026-01-15
POI_000017,Edge of the World,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,Edge of the World is the name of the 1.131 m height cliff that lies some 100 km from Riyadh at the end of the 800 km extending Tuwaik Mountain range. Edge of the World is the perfect destination of mountain climbing and hiking lovers. Discover the breathtaking off-cliff spectacular views.,-,-,Visit_Saudi_Attractions,2026-01-15
POI_000018,The Saudi National Museum,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"From the Earth to the moon, and from the prehistoric ages to the modern ages, the hallways of the Saudi National Museum will take you on an adventure that transcends time and space. You will witness artistic and historical evidence in the heart of Riyadh in Al Murabba neighborhood near King Abdulaziz palace. The museum was opened in 1419H and spans across a distance of 17,000Km2 where it tells the story of 3,700 artifacts such as statues, scripts and unique sculptures.","sat, mon, tue To wed
9:00 AM To 7:00 PM

thu To fri:
2:00 PM To 10:00 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000019,Rawdat Tinhat,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"In the range of King Abdulaziz National Reserve, you will find the biggest natural meadow in the Kingdom of Saudi Arabia, with an area of ????140,000 km² and extended greenery within sight. Discover the wonderful days you will spend in Rawdat Tinhat.",-,-,Visit_Saudi_Attractions,2026-01-15
POI_000020,Al Masmak Palace,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"The magnificent Al Masmak Palace stands erect gracefully in the middle of Riyadh city as a tourist destination having silently witnessed great events in the history of KSA foundation.

The palace was constructed in the hijri 14th century during the reign of Imam Abdullah bin Faisal as his residence and the center of power and money. The palace is a strong fort against enemies with its solid high walls. It has only two entrances and small openings in the walls for gun barrels at the time of battles. Today, the palace stands as a symbol of the history of regaining power and rule of the country displaying in its corridors the features of that era and its leaders after it had been turned into a museum in 1995/1416.

The Arabic word Al Masmak means a strong thick building that had been once used as a depot for weapons and ammunition until it was turned into a historic milestone then a museum.",-,-,Visit_Saudi_Attractions,2026-01-15
POI_000021,Addoho Neighborhood,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"One kilometer southwest of the Palace of Government, Addoho Neighborhood is located in the heart of the capital, Riyadh. It is the last old neighborhood to preserve its traditional Najdi architecture. The construction of Addoho goes back more than 200 years. With its strategic location within the Palace of Government area, its narrow alleys and the details of its houses that reflect the way of life of the locals at the time, Addoho Neighborhood tells the story of a desert civilization whose buildings were surrounded by walls and palm trees",-,-,Visit_Saudi_Attractions,2026-01-15
POI_000022,Al Murabba Historial Palace,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"The walls of Al Murabba Historial Palace are like a window to the rich history of Riyadh and a scene from its ancient memory. The 1680 m2 of land occupied by the palace overflows with the memories of the place and the historical events it witnessed, along with the glory that was made on its land.","sat, sun, mon, tue, wed To thu
9:00 AM To 8:00 PM

fri:
5:00 PM To 8:00 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000023,Heet Cave,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"At a 30-km distance in the outskirts of Riyadh, on the South of the road leading to Al-Kharj, lies Heet Cave, a geological landmark about which many interesting stories have been told. You are promised to see one of the most beautiful natural landmarks, which dates back to thousands of years. Many exciting stories have been told about it, most notably that it was formed as a rocky cavity with a depth of 390 m inside a mountain after a celestial body struck the Earth.",-,-,Visit_Saudi_Attractions,2026-01-15
POI_000024,Wadi Namar,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"Wadi Namar enables you to watch the roaming of ducks flocks and the spread of small fish in the Lake Dam. Inspirational thoughts will flow to your mind as you walk along the parks paths that extend over 2,000m, amidst the fresh air of nature, the rustle of palm trees, and the roar of the lakes waterfalls. The nature of the place integrates, allowing you to take pictures of the sunset or admire the starry sky at night, in a scene in which the reflected lights of the valley shine around.",-,-,Visit_Saudi_Attractions,2026-01-15
POI_000025,The Abstract Art Gallery,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"The Abstract Art Gallery connects between the artist and the audience, as it hosts local art pioneers and provides a space to display their work. Cultural and popular legacies appear on the walls of the exhibition, with their overlapping colors and artistic styles are evident in the art pieces. The exhibition scenes allow you to immerse in plastic and abstract arts, as the pleasure increases while looking at the geometric angles and color textiles of the artworks, with the participation of a group of art connoisseurs in the exhibition.","sun:
4:30 AM To 12:00 AM
mon: 
12:00 AM To 9:30 PM
tue To thu: 9:30 AM To 9:30 PM
sat: 
4:30 PM To 9:30 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000026,"Al Kharrarah National Park,",Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"Al Kharrarah National Park, located in the South of Al Muzahimiyah Governorate, West of Riyadh, is your spacious sanctuary to escape from the crowded city. You can relax and sit amid nature, which is full of green landscapes, sand dunes, and a lake formed from rainfall. Wild Sidr trees and annual plants also grow in the park. You will enjoy a serenity-filled family time.",-,-,Visit_Saudi_Attractions,2026-01-15
POI_000027,Dirab Golf and Country Club,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,The naturally-grassed Dirab Golf and Country Club is situated 45 km from the heart of Riyadh. It is the first golf course with 18 holes extended over a grassy surface surrounded by amazing natural greenery and tree-lined fairways.,"Daily

5:30 AM To 7:00 PM",https://dirabgolf.com/,Visit_Saudi_Attractions,2026-01-15
POI_000028,Last Hour,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"Escape games are amongst the most recent entertainment components in the capital, Riyadh. They are offered by Last Hour, the escape games centre, through its innovative rooms of thrilling adventures.","sat, sun, mon, tue To wed

4:30 PM To 1:30 AM
thu To fri:
4:30 PM To 3:00 AM",https://www.lasthour.sa/en,Visit_Saudi_Attractions,2026-01-15
POI_000029,Naila Art Gallery,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,Naila Art Gallery provides a window to see the artistic world of beautiful paintings embodying various cultures that go beyond time and place to the colorful world of creativity and abstract art forms in the company of elite artists and critics.,"sun To wed:
10:00 AM To 10:00 PM
thu:
10:00 AM To 6:00 PM",https://gallerynaila.com/,Visit_Saudi_Attractions,2026-01-15
POI_000030,Escape The Room,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"You can live a unique adventure in the Escape The Room in Riyadh with your family or friends. It includes four separate rooms, containing multiple puzzles, symbols, and codes which must be solved so that you and your group can leave the room before the specified time which is 60 minutes. This is an adventure full of suspense and mystery, that requires mental and physical efforts, with lots of excitement and fun.","sun To wed:
3:00 PM To 11:00 PM
thu To fri:
12:00 PM To 2:00 AM
sat: 
12:00 PM To 11:30 PM",-,Visit_Saudi_Attractions,2026-01-15
